Configurations,(mean) value
dm128seql1024,"[0.0017445399998905486, 0.0021453980000387673, 0.002228956999942966, 0.002149112000097375, 0.0022178189999522147, 0.0026477390001673484, 0.0026451850001194543, 0.0026739039999483794, 0.0026784799999859388, 0.0026691199998367665, 0.0026169650000156253, 0.002598827999918285, 0.002555889000177558, 0.0025619430000460852, 0.0025516620000871626, 0.0025444150001021626, 0.00255168099988623, 0.002484502000015709, 0.002484622000110903, 0.0024909789999583154, 0.002561253000067154, 0.002560419000019465, 0.0024862300001586846, 0.0024962349998531863, 0.0024835489998622506, 0.0024737260000620154, 0.00248600300005819, 0.0024980690000120376, 0.0025178209998557577, 0.0024790510001366783, 0.002476262999834944, 0.0024756099999194703, 0.0025486729998647206, 0.002412200999970082, 0.002427457000067079, 0.002440755999941757, 0.002421292999997604, 0.0024050370000168186, 0.0024112190001233103, 0.002412132000017664, 0.002403071999879103, 0.002419713000108459, 0.002422724999860293, 0.0024234180000348715, 0.0024154569998700026, 0.0024104159999751573, 0.0024172389998966537, 0.002399458999889248, 0.0023991129999103578, 0.002394453999841062, 0.0024183829998492, 0.002419400000007954, 0.0024115219998748216, 0.002480184999967605, 0.0024022810000587924, 0.002479961000062758, 0.00245685400000184, 0.0024786330000097223, 0.0024557229999118135, 0.0024646730000768002, 0.00245603499979552, 0.002435022999861758, 0.0023997119999421557, 0.0023973310001110804, 0.002426341999807846, 0.0024465199999212928, 0.0024602829998912057, 0.0024771779999355203, 0.0024246909999874333, 0.0023948800001107884, 0.002435436000041591, 0.0024015110000163986, 0.002327046999880622, 0.0023346600000877515, 0.0023728529999971215, 0.0024038709998421837, 0.0023997210000743507, 0.002396213999872998, 0.002389065999977902, 0.0023940000000948203, 0.002401512000005823, 0.002393885000174123, 0.0024011129999053082, 0.002405522000117344, 0.002416555000081644, 0.002398012999947241, 0.0023961889999100094, 0.0024291740000990103, 0.002462595999986661, 0.002473291000114841, 0.0024539089999962016, 0.0024063989999376645, 0.002393284000163476, 0.002396119999957591, 0.002406842000027609, 0.00238635499999873, 0.002391574000057517, 0.0026300120000541938, 0.002475148000030458, 0.002403720000074827]"
memoryallocateddm128seql1024,68420096.0
backwarddm128seql1024,"[0.002625612999963778, 0.0031017379999411787, 0.0030971279998084356, 0.0030904870000085793, 0.003801586000008683, 0.003796790000023975, 0.0037867349999487487, 0.0037990400001035596, 0.0037862640001549153, 0.003848414000003686, 0.0036651299999448383, 0.003669113999876572, 0.003948313999899256, 0.0036569610001606634, 0.0037084309999499965, 0.0036580879998382443, 0.00362632700012, 0.003566497000065283, 0.0035615750000488333, 0.0036183960000926163, 0.003562180000017179, 0.0037301790000583424, 0.0035830849999456404, 0.0035618849999536906, 0.00356318200010719, 0.0035796250001567387, 0.003568870999970386, 0.003565362000017558, 0.0035524229999737145, 0.00360499999987951, 0.0035692040000867564, 0.003598474999989776, 0.004367437000155405, 0.0034966670000358135, 0.003485125999986849, 0.003453947000025437, 0.003520165000054476, 0.00349547599989819, 0.0034685649998209556, 0.003456726999957027, 0.003456640999957017, 0.0034798440001395647, 0.0035216620001392585, 0.003483716999880926, 0.0034836429999813845, 0.003515331000016886, 0.0034779840000283, 0.003457554999840795, 0.003441355999939333, 0.003453754000020126, 0.0035687429999597953, 0.003623491000098511, 0.0035322769999766024, 0.0034822400000393827, 0.003531308999981775, 0.003546278000158054, 0.003528032000076564, 0.0035463049998725182, 0.0035816960000829567, 0.0035291259998757596, 0.003555692999952953, 0.0034391219999179157, 0.0034937059999720077, 0.003505346999872927, 0.0038963430001786037, 0.003454346000125952, 0.003478674999996656, 0.0034074140000939224, 0.003422354999884192, 0.0034563720000733156, 0.0034039480001410993, 0.003365015000099447, 0.0033456710000336898, 0.0033442139999806386, 0.003436744000055114, 0.0034360380000180157, 0.003465270999868153, 0.0034384360001240566, 0.003498003000004246, 0.0034906969999610737, 0.003456315999983417, 0.003460828000015681, 0.003435697999975673, 0.0034440889999132196, 0.0034409250001772307, 0.0034414310000556725, 0.0034405629999127996, 0.003521088000070449, 0.0035291930000767024, 0.0035586599999533064, 0.0034494019998874137, 0.0034389009999813425, 0.003437779000023511, 0.0034403879999445053, 0.003463317000068855, 0.0034314209999593004, 0.003496363000067504, 0.0035388329999932466, 0.003443986000092991, 0.003438377000065884]"
dm128seql4096,"[0.02813821699987784, 0.027030633000094895, 0.026849082000126145, 0.027933759999996255, 0.026554104999831907, 0.026992750000090382, 0.027204009000115548, 0.027667999999948734, 0.0280745410000236, 0.026883408999992753, 0.027577006999990772, 0.028019853999921907, 0.02740163799990114, 0.02723220100006074, 0.028245215999959328, 0.026827004999859128, 0.027156159000014668, 0.028251072999864846, 0.027073787999825072, 0.027135883000028116, 0.028109257000096477, 0.02756801500004258, 0.027146517000119275, 0.028170088000024407, 0.027287315999956263, 0.027218364000191286, 0.02825093499996001, 0.026771965000079945, 0.027360290999922654, 0.028305713000008836, 0.02752515699989999, 0.027430949000063265, 0.027921559000105844, 0.026747806000003038, 0.027176352999958908, 0.028148583000074723, 0.027415329999939786, 0.027250144999925396, 0.028107682999916506, 0.026866018000191616, 0.027161427999999432, 0.02767143899995972, 0.026829856999938784, 0.027677260000018578, 0.027186307999954806, 0.027481876999900123, 0.02752299500002664, 0.027360244999954375, 0.027295784999978423, 0.027812546999939514, 0.02738659400006327, 0.027385843000047316, 0.028284114000143745, 0.027019377999977223, 0.027387469999894165, 0.028137118000131522, 0.027238764000003357, 0.027408439000055296, 0.02820120800015502, 0.026787264999938998, 0.02729182299981403, 0.02663673100005326, 0.02721533899989481, 0.027680995000082476, 0.027525844999900073, 0.027218312000059086, 0.02799314100002448, 0.027481846000000587, 0.027431754999952318, 0.028188017000047694, 0.027491785999927743, 0.027223510999874634, 0.027945960000124614, 0.027462725999839677, 0.027369921999934377, 0.028012702000069112, 0.0274357420000797, 0.02734743999985767, 0.02801702400006434, 0.027519935000100304, 0.027159148000009736, 0.027956373000051826, 0.027321026999970854, 0.027273774999912348, 0.02820215599990661, 0.02680261699993025, 0.027445843000123205, 0.028092433999972855, 0.027087445000006483, 0.027492316000007122, 0.028286024999943038, 0.027275752999912584, 0.027392681000037555, 0.02804001899994546, 0.027108829999860973, 0.02715508200003569, 0.02815405199999077, 0.027182121999885567, 0.027312343000176043, 0.028400396000051842]"
memoryallocateddm128seql4096,637796864.0
backwarddm128seql4096,"[0.04445254299980661, 0.04779897699995672, 0.04472053400013465, 0.04549554599998373, 0.04544599600012589, 0.04447265499993591, 0.04755391100002271, 0.04522379099989848, 0.04489830400007122, 0.04752542100004575, 0.04537384399986877, 0.04498708899996018, 0.0479504459999589, 0.04513756300002569, 0.04493818899982216, 0.04758701699984158, 0.04530361699994501, 0.046169552000037584, 0.047570886000130486, 0.04517040700011421, 0.045543511999994735, 0.047573227999919254, 0.04524517699996977, 0.045560632999922746, 0.04758896399994228, 0.04528142100002697, 0.04535141399992426, 0.04748794000011003, 0.045709244999898146, 0.04547905300000821, 0.047577881000052, 0.0457775990000755, 0.04475001399987377, 0.047513984000033815, 0.04503465299990239, 0.04559429799996906, 0.048238504999972065, 0.04499525500000345, 0.045636638999894785, 0.04739950299995144, 0.04489144099989062, 0.045781067999996594, 0.045153612999911275, 0.04484611200018662, 0.04707940799994503, 0.045145133000005444, 0.04446092900002441, 0.047465224000006856, 0.04520485399984864, 0.04496125099990422, 0.048190835000013976, 0.04542579700000715, 0.04483007799990446, 0.04822009899999102, 0.04518032900000435, 0.04506385800004864, 0.048236653999992996, 0.04509801900007915, 0.04483369400008996, 0.04738939300000311, 0.04523463600003197, 0.04525101600006565, 0.04629175300010502, 0.04463480399999753, 0.04720301399993332, 0.045189889000084804, 0.044776591000072585, 0.04749514600007387, 0.046338420999973096, 0.0446680769998693, 0.04750204000015401, 0.04557645099998808, 0.04465426000001571, 0.047494666000147845, 0.04636470900004497, 0.044724458000018785, 0.04748915799996212, 0.04637810000008358, 0.04474991400002182, 0.04749402800007374, 0.04561055099998157, 0.04472213700000793, 0.0475720460001412, 0.04532358000005843, 0.044481053000026805, 0.04766831300003105, 0.04474091699989913, 0.0452967629998966, 0.04829493800002638, 0.04514334699979372, 0.0454944279999836, 0.047543447999942146, 0.04580759300006321, 0.04478395899991483, 0.04748173699999825, 0.04514673199992103, 0.04490671600001406, 0.047600719000001845, 0.04497850300003847, 0.04483132700011083]"
dm128seql8192,"[0.13823831100012285, 0.13831367700004193, 0.13793512999995983, 0.1382663679999041, 0.13783023299993147, 0.13797062699995877, 0.13742590300012125, 0.13788009500012777, 0.13754213699985485, 0.13765438299992638, 0.1379355779999969, 0.1376819820000037, 0.13809634800009007, 0.1381713050000144, 0.13810440199995355, 0.13792394400002195, 0.13796356700004253, 0.13707061600007364, 0.1372229129999596, 0.1368053650001002, 0.13736707699990802, 0.13721564000002218, 0.13808539100000417, 0.13668452299998535, 0.13753565599995454, 0.13800153700003648, 0.13780458500013992, 0.1373965750001389, 0.13703444299994771, 0.1369734840000092, 0.1374250100000154, 0.13760713000010583, 0.13788595200003329, 0.138471182000103, 0.138005425999836, 0.13720678200002112, 0.1385065320000649, 0.13658890300007442, 0.13716983399990568, 0.13673071299990625, 0.13737322700012555, 0.1371596500000578, 0.1335957960000087, 0.1355291219999799, 0.13670793300002515, 0.13660922500002926, 0.13493912499984617, 0.13605072999985168, 0.13620241999979044, 0.1370501870001135, 0.1351719320000484, 0.13590941500001463, 0.13676676499994755, 0.13737836200016318, 0.13714880099996662, 0.13612608700009332, 0.13600871499988898, 0.13591635400007362, 0.13603688100010913, 0.13572808100002476, 0.1375943069999721, 0.13528018600004543, 0.13484747999996216, 0.13580174599997008, 0.1375126469999941, 0.13613850299998376, 0.13630396600001404, 0.13490880099993774, 0.1379366090000076, 0.1368678699998327, 0.13555017599992425, 0.13666746000012608, 0.13404484300008335, 0.13485166300006313, 0.13463823799997954, 0.13529160299981413, 0.13647050800000216, 0.1342196509999667, 0.13535148000005393, 0.13618489800001043, 0.13492971300001955, 0.1354019169998537, 0.1355697159999636, 0.13447266299999683, 0.1359276079999745, 0.13615454899991164, 0.13430070300000807, 0.13483240400000795, 0.13471085400010452, 0.1353205089999392, 0.13541183100005583, 0.13480679500003134, 0.1346758710001268, 0.13011183399999027, 0.13669367199986482, 0.1348647649999748, 0.13461158599989176, 0.13429071300015494, 0.13523807599995052, 0.13484637900000962]"
memoryallocateddm128seql8192,2387998100.48
backwarddm128seql8192,"[0.2053151780000917, 0.20508996900002785, 0.2051214649998201, 0.2054307719999997, 0.2051258300000427, 0.20632954000006976, 0.20621101999995517, 0.2056896990000041, 0.20501286600006097, 0.20550750999996126, 0.2044016699999247, 0.20486120499981553, 0.20517772700009118, 0.2050153610000507, 0.2047399850000602, 0.20480122699996173, 0.20207499299999654, 0.20100967400003356, 0.20342611899991425, 0.20432201699986763, 0.20566662399983215, 0.2052663049998955, 0.2047965760000352, 0.20525463400008448, 0.2041480150001007, 0.20271615000001475, 0.20095479600013277, 0.2019163270001627, 0.20356541000001016, 0.20318990600003417, 0.20300863199986452, 0.2039176440000574, 0.20429568999998082, 0.20397215699995286, 0.19506807199991272, 0.19302432200015573, 0.21395961799998986, 0.20352416400010043, 0.204159749000155, 0.20386213699998734, 0.20316290499999923, 0.20018595699980324, 0.20089497399999345, 0.20368815200004065, 0.2024274370000967, 0.1981385510000564, 0.2013223830001607, 0.20349257199995918, 0.20196330500016302, 0.1995888559999912, 0.20120901099994626, 0.20360033600013594, 0.20312675200011654, 0.1995857110000543, 0.1992024799999399, 0.20263086800014207, 0.2023534339998605, 0.20034011999996437, 0.20185933700008718, 0.2041055680001591, 0.20199125399994955, 0.20059520799986785, 0.20141532300021936, 0.2040691660001812, 0.20325853000008465, 0.19971888200007015, 0.2003826410000329, 0.20349525699998594, 0.20247248800001216, 0.1985660769998958, 0.19777004599995962, 0.20207130500011772, 0.2033832590000202, 0.198967360999859, 0.2016472170000725, 0.2029372910001257, 0.19866048199992292, 0.20124255900009302, 0.20259295699997892, 0.20029515200008063, 0.20115926899984515, 0.20153542499997457, 0.1993384380000407, 0.20099857600007454, 0.20162637299995367, 0.20089678999988791, 0.20188725899993187, 0.19807212699993215, 0.20126337199985755, 0.20204993800007287, 0.19880523200004063, 0.20178329700001996, 0.19843463499978498, 0.20154140500017093, 0.19841138100014177, 0.20061219300009725, 0.19884300500007157, 0.20094789599988871, 0.2025229579999177, 0.19825092999985827]"
memoryallocateddm16seql16384,[]
memoryallocateddm32seql16384,[]
memoryallocateddm64seql16384,[]
memoryallocateddm128seql16384,[]
